gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG4974	554.857067477923	575.39190094002	558.817247703788	536.576798878131	521.512085915213	533.065558434223	424.221528721489	412.919854401937	414.917508621127	504.910058319166	424.194223690432	402.89466583637	572.256593280565	464.526618342995	608.85198502428	396.66556820817	751.461689880158	632.355453915468	513.357284335713	515.463917525773	476.518425964335	330.295005591837	574.684166826044	522.199431455031
CG4978	466.728325732773	450.896565923871	487.542062877087	408.786798092681	486.503553201711	405.192584151988	434.985103554132	426.350805635955	489.021579791069	377.566276366012	458.112141887902	398.728480119084	479.881383968517	512.914807753723	474.941616932943	439.383398630588	427.191974992044	424.910796291852	432.547107016918	494.845360824742	418.834616505495	372.30621244343	363.982075040508	368.706908056896
CG4994	986.371160251217	994.167074335686	1113.6747629172	1049.67836280534	1092.82504231019	993.565165205215	913.878758409684	927.390803500106	940.338224691705	922.661960126215	928.337825989186	989.101503233328	1020.43292659537	1006.47433974316	980.00148274456	999.12258932434	950.416016942985	952.040699238818	1019.05886766228	886.59793814433	1020.2510299068	1046.29634995046	1062.30900781543	996.212497539924
CG5000	593.052399523918	618.486439984071	607.818937272145	504.805804207715	540.084687777305	553.658598771086	590.458962247872	547.556950918554	584.834552867624	621.001865148829	587.176428015936	546.995677704853	608.267268097125	503.237169871578	652.407606479594	369.882166594114	682.559758429828	598.282418363763	505.701583326564	371.134020618557	596.90202831322	283.213480671948	607.099873254588	492.962760331576
CG5008	967.925609653395	994.167074335686	876.585780056164	912.357063618769	947.531413583738	954.536450662017	782.153104505427	791.60716236595	721.127282882825	774.064447384246	793.326891865492	788.38937955937	708.07946459955	464.526618342995	680.209066982986	704.505171569724	613.657826979499	700.250987992762	760.466300242133	556.701030927835	704.244073740976	860.505409305048	712.68245990756	715.486312771201
CG5010	185.94605552148	208.888807310749	228.922034599648	245.695692117881	237.170482185834	226.915692092861	178.538661906547	208.671120391935	176.935711780213	189.31894652222	143.820783006154	181.841753072133	218.41257117001	203.23039552506	188.123216072951	217.657516914227	193.786682204052	180.887732855376	180.334290437732	226.80412371134	175.559420092124	205.347881765977	175.970977754953	181.37564493254
CG5014	520.015471904259	507.757416051439	552.87764896823	519.102751809402	532.195440968629	477.954660008904	456.683103613588	475.488432101873	458.82498691345	558.669495020287	486.523904533835	466.61280033604	565.60244684707	600.013548693035	525.447603514105	395.987507407814	541.310798956653	459.484905895788	523.990202403975	391.752577319588	450.435312122077	272.710678959049	454.282971520023	440.715746194292
CG5064	310.034304997738	335.1797481204	327.667863578306	349.833952426466	319.021417825852	318.309566349795	448.823985481817	416.85086451921	390.10733501357	423.467190758664	425.515701022801	460.486056634148	327.227436376575	300.006774346517	293.76876598584	315.298272165469	321.685892458727	284.860598693299	438.076224412414	432.989690721649	440.40334525967	408.522770074114	364.908238081324	404.711327125594
CG5072	190.417704151255	195.5215197369	199.719007483152	205.805443253915	203.641183248959	190.436592067561	307.189008715762	322.015245439987	316.819387975456	311.304645083235	323.982192652454	297.759743911916	218.803991548451	329.039687992955	216.851391926456	188.161872098747	182.590118343374	187.151158508262	316.860958434222	329.896907216495	330.051709773192	287.55946758763	278.31199376507	282.350444275582
CG5094	396.113541120908	393.83620404147	416.761844611683	400.314532847237	379.99872128458	374.597209937221	320.173638672602	328.075552704117	369.867456544246	302.731711655814	336.536227309959	348.979321259727	414.514180768891	522.592445635869	410.534900100085	435.993094628809	403.076298984429	426.414018448544	346.207812302626	371.134020618557	371.182773909061	412.144425837182	394.545455387421	404.169907289974
CG5105	441.761620883195	437.130254840355	422.948926627889	447.088497223127	421.417267030131	379.304190585646	482.652363527268	478.272897601609	479.554539861869	483.120519191137	475.071100986637	503.128192799312	440.739346124429	745.178116925221	475.868332283056	381.748230600341	428.483886206738	463.24296128752	492.516764921918	329.896907216495	517.649490100204	434.236525991899	467.712335611849	442.069295783341
CG5119	3300.26300746691	3458.73578179479	3663.74248671695	3422.2656425816	3516.6317649675	3376.67024266447	4243.58209036824	4114.12967190315	4169.25173985423	4387.37728426258	4247.88888489998	3952.97503646025	3836.70254947749	3067.8112086402	3700.37439300145	1816.86391455349	3739.22169239508	3434.11101696486	4394.79769597425	3113.40206185567	4242.01718776883	1883.26099679556	4137.63338484344	3769.90631541874
CG5163	338.16842762674	315.827107901543	317.768532352376	299.176866479747	308.173703463922	304.973121179256	242.436709325732	247.326053211791	267.851940065802	242.363972104389	277.069747353356	275.703466585107	321.747551078402	290.329136464372	290.988619935501	335.301065775966	307.905506168661	265.068173630176	298.997656079541	247.422680412371	289.923842323564	285.386474129789	266.734955754876	249.5945442206
CG5168	306.121612446685	300.664214534192	307.869201126445	287.704007293208	266.426439101342	307.914984084522	300.013292160666	315.299769822978	335.100568528393	294.337381008131	337.637458420266	340.156810329004	317.833347293993	387.105515285829	288.671831560218	302.415116958707	330.298633890018	317.931486140542	372.577449111917	329.896907216495	305.473390960295	320.878700607859	333.881776214003	313.482084823704
CG5170	1553.33894276811	1759.49416587727	1724.21601627648	1707.69096353484	1486.30122689293	1757.2727754123	1510.83003563598	1445.62897062733	1349.21641473731	1744.59195248023	1556.03955886444	1681.66861129512	1542.19629105706	1258.09292467894	1473.01404900471	1029.63532534035	1478.8077037527	1601.93374498237	1480.9528285476	1567.01030927835	1420.52650771684	864.127065068116	1296.16517562135	1412.56435113134
CG5175	1076.17677023253	1128.03946182901	1122.08919445925	1062.91627725135	1123.88895161936	980.228720034675	929.767845067395	923.623585471052	932.013758547064	913.374615579842	901.908279341807	952.831180518131	1002.42758918709	948.408512450281	1012.89987767357	777.0576772078	847.92439391062	888.404294605487	842.552427729119	690.721649484536	890.337059038627	746.061087192087	802.05719334626	806.174135237471
CG5183	469.895743512197	529.703709083132	500.163710190149	517.514202075881	461.849656924597	526.397335848953	428.492788575713	468.117788131986	417.36588101661	463.474213419963	459.21337299821	511.460564233884	494.36393797083	512.914807753723	490.695777884865	446.503037034325	461.642940717209	457.230072660748	507.828166940216	412.371134020619	529.687850335093	542.161867731337	538.563808234238	517.055943016645
CG5214	270.907379487206	269.540380780155	310.591517213576	308.355153828978	287.793149208174	288.890937297134	322.223843402629	322.015245439987	301.965928776194	353.45490110139	316.714067324425	333.784996879037	288.476818910928	309.684412228663	288.671831560218	305.127360160131	286.804289661997	295.633690816265	353.438196589045	350.515463917526	366.166790477858	408.522770074114	378.337602173149	377.640335344618
CG5215	358.849802539449	381.266963486955	429.136008644096	440.028276185257	403.995180327637	393.229008337239	454.462048489392	421.109458812923	374.11130202975	427.932260252112	444.677122342151	429.852338124692	355.801124002759	309.684412228663	414.241761500538	298.68578255675	403.506936055993	389.585075609569	408.304053821279	412.371134020619	420.339411534856	357.457423814849	468.175417132257	450.190593317634
CG5216	218.365508087349	227.443400510271	251.44301313864	219.219863225868	208.07888457884	216.913358214956	224.155717149655	205.39527862754	234.717300313604	249.686686073645	218.704498507061	214.68109931427	216.846889656247	212.908033407206	226.118545427586	164.090713686115	233.405292787992	244.524137488707	201.600126574257	247.422680412371	200.639337248141	131.466104199382	230.61459716307	174.878606905106
CG5227	433.377279702367	478.030164581237	451.162020621792	400.491038373184	422.074704264187	493.840719697341	481.627261162254	444.859311604784	466.659778578994	517.233650121084	465.600513437993	465.142381847586	419.994066067063	270.97386070008	459.187455981021	337.674278577211	521.501493664683	535.898698861009	427.443306344152	391.752577319588	450.435312122077	381.360351851101	524.208281101597	527.342919893416
CG5252	341.149526713256	357.126041152093	378.154452830553	315.944891444689	359.12508910329	343.021214754031	448.653135087648	419.635330018946	446.583124936036	405.071104445655	442.254413899475	409.021409538262	326.444595619693	309.684412228663	337.78774511621	290.210022552302	366.472147901441	315.927189931618	437.225590966953	515.463917525773	441.908140289031	325.224687523541	419.551857489441	418.246823016082
CG5258	373.196341893311	346.35240639108	344.744209943037	323.358123534453	334.306833517662	363.614255090894	361.177733273148	369.514951023709	368.561657933322	300.945683858434	360.543065514661	337.951182596323	326.053175241252	251.618584935789	353.078548393076	484.135411454074	394.463557553137	379.313057538834	372.577449111917	288.659793814433	333.562898175035	499.064164150823	413.994879244547	370.060457645944
CG5266	583.922783571461	590.754306062204	554.857515213416	578.232103001565	537.126220224051	579.939240724797	511.867780930157	533.798415508097	574.877838459327	516.162033442656	542.02595249333	525.429539874196	637.623796480191	493.559531989432	583.367312896171	736.034998786271	588.680876828754	605.798529147227	609.478863672806	659.79381443299	572.825307843443	723.96898703737	588.576612438277	596.373948934905
