Gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	trans_reg_diff	perc_cis
CG9172	482.861742810762	506.57715281373	450.791408050327	534.99398131771	535.869385698822	530.441198992022	500.047260564261	584.206744408949	529.530705448953	510.170299187744	520.719547451232	466.571542279741	474.162365838393	527.349521711943	479.162073759465	406.157803588855	464.807973679743	462.452991974514	478.448382867034	522.807023618067	436.888895968107	325.347611865813	432.547020004325	456.914993042431	0	0	-0.0226435212116957	0.373327711172734	0.0589512569649939	0.02963869894078	-0.081615393884118	0.028022497653331	1	0.38137685463298	0.0513859527189124	P2	Ambig	0.384105825345535	Conserved/Ambiguous	NA	-0.0815947781766896	41.9444468181301
CG9175	336.135798862741	292.256049700229	417.150258195825	287.496765661386	247.14153486775	389.825553065003	308.972291080356	403.066665547037	333.197013120956	438.529363557124	477.237874446139	406.553150929821	720.726796074357	543.67613229126	553.398451384171	327.182675113245	288.989305374797	263.341287096598	609.344638557072	508.957830939443	486.949081964453	567.979729189471	490.99932000491	830.75453280442	0	0	-0.183787483384035	0	-0.259093801909806	0	0.0753368148082076	0.0591126243335226	0	0	0.0985654694354903	Ambig	P1	0.709347278975102	Cis	NA	0.075306318525771	77.4801760155828
CG9195	145.392071730312	115.510724405329	134.564599418008	141.248410955377	159.216181116723	174.029264761162	86.3902787560206	123.559126640907	140.936633911798	108.546872167605	129.384490405398	130.039847924828	128.55068584952	199.184649067669	139.474406446417	101.539450897214	149.546913270874	112.401768882694	115.098431727447	121.180435937963	136.527779990033	110.287326056208	70.1427600007014	71.207531383236	0	0	0.190721543469682	0.000149881411687267	0.285332819369218	5.46393387481096e-08	-0.0945741547511392	0.194871099895771	0.00244488358048448	1.26373584489974e-06	0.272543126946426	Ambig	P1	0.668417828314696	Cis	NA	-0.094611275899536	75.0986323836372
CG9196	112.04526628758	160.044979597744	107.651679534406	163.748157833224	128.323489258255	154.537987107912	47.7687423709761	58.7805553922762	59.4703715350362	74.8973417956475	137.86871928444	65.0199239624142	118.013744386444	83.2657139545173	98.9818368329412	157.950256951222	70.7316481686566	170.208392879508	128.639423695382	93.482050580714	122.87500199103	129.587608116044	66.2459400006625	118.67921897206	0	0	0.621575653289015	3.6484050540459e-11	0.0583045121381648	0.284201724590874	0.563390812287499	5.63663064104901e-11	1.67542655411432e-09	1	4.75641024070134e-10	P1	P2	10.6608499152872	Trans	NA	0.56327114115085	9.38011516854809
CG9201	372.150348740891	301.99791802357	400.329683268574	278.746864097779	408.734076896663	297.93810127111	321.168565728265	299.900792817736	313.645110150533	360.375615596449	283.161138838042	329.386647765637	288.712196088266	192.654004835942	260.952115286845	296.15673178354	307.177443475309	289.033119984071	275.33350334801	384.315096831824	309.462967977409	259.175216232089	290.313090002903	267.028242687135	0	0	0.0767493127158184	0.0158442045137887	-0.0882826256230015	0.00977062552272456	0.165077393742806	0.000412721613813026	0.202743709097868	0.135475022140744	0.00119197412920171	P1	Ambig	0.869359199210562	Conserved/Ambiguous	NA	0.16503193833882	34.8509869477174
CG9203	157.396921689696	116.902419880092	142.974886881634	144.998368768351	125.947128346065	174.029264761162	125.011815141065	159.547221779035	131.160682426587	93.3503100641403	134.687133454799	123.60930599448	160.161510238746	89.7963581862442	152.971929650909	160.770797253922	103.0661159029	134.882122659233	137.666751674005	133.298479531759	131.976853990366	140.616340721665	85.7300400008573	130.547140869266	0	0	0.11652085444862	0.0189420594436455	0.0535126699208569	0.292007839537407	0.0629807572964748	0.376049194365285	0.239602255183352	1	0.469149522114092	Ambig	Ambig	2.17744423182304	Conserved/Ambiguous	NA	0.0630081845277631	45.9254012288876
CG9204	553.556970349354	505.185457338967	558.443087584734	618.74303914081	510.917596120828	456.65279073329	494.965479460965	565.013093668614	559.673222528354	600.264203086856	499.508975253625	545.881559420708	537.384014616845	561.635403928509	429.671155342995	510.51779478877	485.017016013645	639.084343075891	602.574142573104	493.37748917599	562.039360958971	504.564516707151	572.832540005728	474.71687588824	0	0	-0.0190982161418058	0.441132749200904	-0.0146764268780128	0.556354580203472	-0.00441375342705531	0.898250967057286	1	1	0.92903019599841	Ambig	Ambig	1.3012851357177	Conserved/Ambiguous	NA	-0.004421789263793	76.8471084892911
CG9205	813.662052802666	744.557078998202	883.080183680678	878.740114173716	884.006259334643	838.124939089757	570.175839789736	722.161109105108	580.039788122545	706.640137811109	738.127912476695	770.950526982911	893.532636068794	803.269240502402	1007.8150659354	964.624783523532	887.176958458293	1085.47993949573	803.432190097473	927.895909467827	773.657419943523	725.139168819567	701.427600007014	842.622454701626	0	0	0.209742681198738	6.64020917833763e-11	0.166975773319582	6.77540243186761e-11	0.0427521789514255	0.138961071818153	1.67655476103736e-09	1.73510012507653e-09	0.206868067658831	P1	Ambig	1.25612642498324	Cis	NA	0.042766907879156	79.6098211223719
CG9207	141.390455077185	111.33563798104	173.251921750685	198.747764087654	198.426136167857	168.460328288805	208.353025235109	237.521427911647	224.846884159863	210.580932005154	150.595062603004	157.191024964078	168.591063409206	173.062072140762	204.712435268128	157.950256951222	121.254254003411	89.9214151061555	225.683199465582	235.436275536613	273.055559980067	256.418033080683	264.98376000265	367.905578813386	0	0	-0.181555966463882	2.27727617034823e-05	-0.572811023171344	0	0.391268554545737	6.59644701423339e-11	0.000410282532582441	0	4.75641024070134e-10	P2	P2	0.316956132336115	Cis_+_Trans,same	Reinforcing	0.391255056707462	59.4161577848847
CG9210	157.396921689696	194.837366466819	131.200484432558	141.248410955377	104.559880136356	144.792348281287	156.518857981496	143.952380552513	150.71258539701	156.307495921351	148.474005383243	151.474987692657	118.013744386444	101.224985591766	107.980185635936	78.9751284756108	173.797764071556	122.036206215497	212.142207497647	86.5574542414018	72.8148159946845	135.101974418855	120.801420001208	148.349023715075	0	0	-0.0374714634867902	0.427600290498012	-0.0998045371491837	0.0548364622581035	0.0623079659593819	0.378009891144416	1	0.670227279014769	0.470840604327016	Ambig	Ambig	0.375448497203884	Conserved/Ambiguous	NA	0.0623330736623935	61.5554507369473
