gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5
CG12413	126.372324460943	85.4301806947659	129.17986573906	110.230583416105	131.458243432089	104.361064728416	75.4229341029825	132.127824232243	122.016509580786	121.045942197931	64.5274525594169	74.0658445357923
CG12428	200.616065081747	208.608580766289	180.851812034683	206.237865746261	194.329577247436	174.344366958059	193.585530864322	180.664575991026	201.700760735585	176.306046244813	157.446984244977	163.380539417189
CG12432	107.416475791802	154.966374283529	80.3785831265259	73.4870556107367	76.2076773519356	110.499950888911	55.3101516755205	86.2875586822811	124.506642429374	89.4687398854274	113.568316504574	117.633988380376
CG12437	260.642919200695	196.688090436787	124.873870214424	301.059872985921	304.830709407743	343.777624987722	329.34681224969	221.111869123345	119.526376732199	278.93195376045	394.908009663631	527.174540519463
CG12443	101.097859568754	200.661587213287	139.227188629875	106.674758144618	151.462758736972	169.433258029663	120.676694564772	107.859448352851	149.407970915248	147.360277458351	72.2707468665469	128.526024341522
CG12488	265.38188136798	194.701342048536	246.877076745758	173.05016321238	198.139961115033	216.088792849425	191.071433060889	172.575117364562	189.250096492648	231.566150291694	196.163455780627	148.131689071585
CG12489	195.877102914462	123.178400071523	152.145175203781	130.380259954533	156.225738571468	166.977703565465	145.817672599099	113.252420770494	164.348768006773	192.094647401065	82.5951392760536	161.20213222496
CG12499	732.95948187347	901.983768265668	763.596539701996	602.119745971843	599.182863179594	547.588645516158	819.595883919076	733.444248799389	1055.81632780109	463.132300583389	340.704949513721	548.958612441755
CG12529	205.355027249032	210.595329154539	281.325040942841	165.938512669405	139.079011167283	191.533248207445	186.043237454023	253.469703629201	358.579130196596	168.411745666687	180.676867166367	178.629389762793
CG12534	189.558486691415	200.661587213287	183.722475717774	252.463594275595	178.13544581015	201.355466064237	206.156019881485	164.485658738098	221.621823524285	231.566150291694	214.231142497264	209.127090454002
CG12576	372.798357159782	317.879742120059	404.76357931572	333.062300429307	418.189629468747	346.23317945192	274.03666057417	283.131051926235	395.931122925408	344.7177919115	320.056164694708	333.296300411065
CG12608	511.807914066819	619.865497134115	552.602758994866	549.967641990029	529.643357595953	486.199783911207	583.270690396398	698.389928084713	684.786533361555	547.338173416732	431.043383096905	503.212061404942
CG12643	293.815654371693	369.535200214569	473.659507709885	274.983820995015	264.821678797976	233.277674098812	181.015041847158	285.827538135056	253.993550555922	142.097410406267	232.298829213901	322.40426444992
