gene	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1.1	ATAC_P1_2.1	ATAC_P1_3.1	ATAC_P2_1.1	ATAC_P2_2.1	ATAC_P2_3.1
CG3879	1795.64994790071	1512.27358676215	1471.90615161738	1038.73475405442	801.305831725775	1095.60493864995	1770.06113315615	1539.72597039149	1550.27598595711	695.325097593844	572.911622226344	586.676819088217
CG3885	236.381309552455	250.263097102082	321.565082673167	189.876245364786	161.879966005207	172.385392444923	216.634347640007	152.585456525282	138.955622931361	140.720555465421	180.573863738962	143.548583393925
CG3886	3643.24018355062	3833.08948723872	3743.85738864842	4143.76982531385	3858.13918979077	3949.54088023812	4299.22311048176	3776.49004900074	3673.1161049567	3526.29156636878	3345.54122090914	3187.71473775858
CG3887	228.961268445427	177.537068884383	237.582449397701	329.491131662422	342.645928044355	344.770784889846	162.035447015289	263.556697634579	246.102127360362	581.093117274855	561.420558170229	505.540663256868
CG3897	210.941168614074	211.7610821633	219.901895023918	189.876245364786	230.67895155742	218.354830430236	265.949483688138	230.612110430256	254.472948018878	157.275914931941	139.534349252835	156.031068906441
CG3905	825.744574624943	673.785261428681	635.394922807805	480.27520886387	628.633867986888	869.588535222166	699.218178968151	724.780918495091	750.025531003008	610.892764314592	576.194783385235	681.855771121146
CG3918	776.984304493047	737.955286326651	573.512982499566	681.320645132467	720.365848723172	754.664940258885	537.182731952862	573.929387612142	652.924011364226	473.483280742475	530.230527160771	686.536703188339
CG3919	253.341403511375	194.649075523841	239.792518694424	228.968413528124	152.436967988237	168.554605946147	230.724386510901	162.989010379279	241.079634965253	246.674856051149	236.387603440096	202.840389578373
CG3924	188.681045292991	164.703063904789	134.814227100091	161.953268105258	163.228965721917	191.539324938803	135.616624132362	140.447977028953	177.461397960533	114.231980318989	157.591735626731	157.591379595505
CG3931	377.362090585982	293.043113700728	303.884528299385	307.152749854801	415.491912746698	321.786065897189	331.115913466026	339.84942589722	306.372036101675	317.862901757186	238.029184019541	269.933749208142
CG3935	393.26217867247	436.356169306194	322.670117321529	362.998704373855	290.034939092663	436.709660860471	487.86759590473	483.765254210838	587.631610227804	499.971855888907	398.904080805162	374.474565375458
CG3943	802.424445431428	722.982280517125	675.176170148815	748.335790555332	942.950801980332	1095.60493864995	690.411904673842	960.594805852346	711.519755973836	1610.83647609241	1108.06689112545	1433.92552325019
CG3947	307.401703005435	455.607176775585	433.173582157669	469.106017960059	342.645928044355	337.109211892294	639.335513766849	447.352815721851	458.720972086661	403.95077098309	400.545661384608	361.992079862942
CG3959	76.3204228151424	74.8650290476313	66.302078901684	128.445695393826	106.570977620095	130.246740958386	63.4051749190263	131.778348817289	85.3823707168603	208.597529278153	151.02541330895	173.194486486149
CG3964	191.861062910289	243.846094612285	125.9739499132	256.891390787651	245.517948441231	180.046965442475	146.184153285533	164.722936021612	160.719756643502	291.374326610754	290.559762561785	283.976545409722
CG3971	63.600352345952	62.0310240680373	109.398430187779	217.799222624313	84.9869821527337	80.4465164742973	61.6439200601645	130.044423174957	71.9890576632352	127.476267892205	113.269059981713	107.661437545444
CG3973	313.76173824003	346.518134449036	327.090255914974	418.84465889291	254.960946458201	371.586290381278	378.669794655296	372.794013101542	349.900303525957	274.818967144234	293.842923720675	343.268351594169
CG3975	277.721538577324	188.232073034044	212.166652485389	268.060581691462	288.685939375953	206.862470933907	207.828073345697	322.510169473892	336.506990472332	495.005248048951	361.147727477925	397.879225711424
